,guest_size,total_interactions,message_length,total_reviews,lead_time,days_of_stay,reply_t,accepted,contact_me,past_booker
182,4.0,5,364.0,2.0,70,105,222.2,1,1,0
185,4.0,39,271.0,15.0,120,6,33.01666666666667,1,1,0
186,3.0,4,168.0,0.0,30,5,179.28333333333333,0,1,0
187,4.0,20,11.0,0.0,162,5,182.95,1,0,0
188,3.0,2,83.0,0.0,122,4,237.28333333333333,0,1,1
189,2.0,7,704.0,10.0,12,11,8.866666666666667,1,0,1
190,1.0,4,150.0,0.0,16,3,79.45,0,0,0
191,1.0,2,361.0,0.0,6,3,450.05,0,1,0
192,5.0,3,564.0,20.0,247,6,0.0,0,1,0
193,6.0,3,142.0,0.0,34,4,75.91666666666667,0,1,0
194,5.0,4,0.0,1.0,102,12,404.2,0,0,1
195,1.0,4,260.0,0.0,18,28,609.2833333333333,0,0,1
196,3.0,7,114.0,0.0,26,11,592.1,1,1,1
197,4.0,9,231.0,0.0,66,8,313.06666666666666,1,1,0
198,2.0,2,195.0,1.0,39,30,167.1,0,1,0
201,2.0,8,202.0,0.0,11,5,0.0,0,1,1
202,4.0,2,18.0,0.0,200,22,3.75,0,1,1
203,2.0,15,165.0,7.0,94,3,12.733333333333333,0,0,0
204,3.0,3,0.0,3.0,97,11,688.7333333333332,0,0,0
205,4.0,3,0.0,5.0,137,4,725.4833333333332,0,0,1
207,1.0,4,44.0,0.0,168,30,69.95,1,1,0
208,1.0,5,333.0,8.0,69,4,6.35,1,1,0
209,6.0,4,146.0,0.0,149,6,240.66666666666663,0,1,1
210,2.0,4,219.0,0.0,57,13,158.5,0,1,0
211,2.0,2,102.0,1.0,31,3,21.48333333333333,0,0,0
212,2.0,2,285.0,32.0,9,3,10.633333333333333,0,1,0
213,5.0,4,247.0,3.0,80,15,568.4166666666666,0,1,0
214,4.0,2,24.0,0.0,72,7,1204.6666666666667,0,0,1
216,2.0,2,0.0,0.0,182,4,792.2666666666668,0,0,1
219,2.0,2,255.0,0.0,0,3,1097.9333333333334,0,1,0
220,4.0,2,63.0,0.0,126,19,346.3,0,0,0
